QuestionType;Question;QuestionID;id0;id1;id99
radio;UIST is an amazing conference;q1;;5;5
radio;VR is a beautiful research tool;q2;3;4;4
radio;Happiness is the key to success;q3;;1;3
radio;Debugging is awesome;q4;6;7;5
radio;I like fixing bugs;q5;6;6;3
radio;I would use the VRQuestionnaireToolkit;q6;5;6;3
radioGrid;Hololens_The system was easy to use;q7;5;3;5
radioGrid;Oculus Rift_The system was easy to use;q7;3;2;3
radioGrid;Vive_The system was easy to use;q7;4;1;3
radioGrid;Magic Leap_The system was easy to use;q7;3;2;4
radioGrid;Hololens_The system was easy to use;q8;4;7;7
radioGrid;Oculus Rift_The system was easy to use;q8;5;7;5
radioGrid;Vive_The system was easy to use;q8;6;7;6
radioGrid;Magic Leap_The system was easy to use;q8;5;6;5
checkbox; If you don’t use VR frequently, what is keeping you from adopting this?;q9;;1;
linearSlider;Temporal Demand:			How hurried or rushed was the pace of the task?;s1;0;4;3
linearSlider;Physical Demand:				How physically demanding was the task?;s2;6;5;11
linearSlider;Mental Demand:				How mentally demanding was the task?;s3;10;6;19
linearGrid;Mental Demand:				How mentally demanding was the task?;s4;17;3;4
linearGrid;Physical Demand:				How physically demanding was the task?;s5;;9;7
linearGrid;Temporal Demand:		    How hurried or rushed was the pace of the task?;s6;;2;
dropdown;Demanding;d1;0;20;2
dropdown;Mental;d2;2;20;2
dropdown;Physical;d3;0;20;2

