QuestionType,Question,Answer
radio,UIST is an amazing conference,
radio,VR is a beautiful research tool,
radio,Happiness is the key to success,
radio,Debugging is awesome,5
radio,I like fixing bugs,5
radio,I would use the VRQuestionnaireToolkit,5
radioGrid,Hololens_The system was easy to use,4
radioGrid,Oculus Rift_The system was easy to use,4
radioGrid,Vive_The system was easy to use,4
radioGrid,Magic Leap_The system was easy to use,4
radioGrid,Hololens_The system was easy to use,5
radioGrid,Oculus Rift_The system was easy to use,5
radioGrid,Vive_The system was easy to use,5
radioGrid,Magic Leap_The system was easy to use,5
checkbox, If you don’t use VR frequently, what is keeping you from adopting this?,
linearSlider,Temporal Demand:			How hurried or rushed was the pace of the task?,0
linearSlider,Physical Demand:				How physically demanding was the task?,6
linearSlider,Mental Demand:				How mentally demanding was the task?,10
linearGrid,Mental Demand:				How mentally demanding was the task?,16
linearGrid,Physical Demand:				How physically demanding was the task?,
linearGrid,Temporal Demand:		    How hurried or rushed was the pace of the task?,
dropdown,Demanding,0
dropdown,Mental,0
dropdown,Physical,0

